term,definition
>Perspiration,">Perspiration, or sweat, is a clear, salty liquid produced by glands in your skin.   It is how your body cools itself.  Sweating a lot is normal when it is hot or when you exercise, feel anxious, or have a fever. It can also happen during menopause."
>Strength Training,">Strength training, or resistance training, is exercise that works your muscles by making you push or pull against something. It strengthens your muscles and can improve your bone strength and balance. Some examples are lifting weights, working with resistance bands, and doing push-ups and pull-ups."
>Target Heart Rate,">Your target heart rate is a percentage of your maximum heart rate, which is the fastest your heart can beat.  It is based on your age.  The activity level that is best for your health uses 50â75 percent of your maximum heart rate. This range is your target heart rate zone."
>Warm Up ,>Your physical activity session should start at a slow-to-medium pace to give your body a chance to get ready for more vigorous movement. A warm up should last about 5 to 10 minutes.
>Water Intake,">We all need to drink water. How much you need depends on your size, activity level, and the weather where you live. Keeping track of your water intake helps make sure that you get enough. Your intake includes fluids that you drink, and fluids you get from food."
>Weight (Body Mass) ,>Your weight is the mass or quantity of your heaviness.  It is expressed by units of pounds or kilograms.
>Antioxidants,">Antioxidants are substances that may prevent or delay some types of cell damage. Examples include beta-carotene, lutein, lycopene, selenium, and vitamins C and E. They are found in many foods, including fruits and vegetables.  They are also available as dietary supplements.  Most research has not shown antioxidant supplements to be helpful in preventing diseases."
>Calcium,">Calcium is a mineral found in many foods. Almost all calcium is stored in bones and teeth to help make and keep them strong.  Your body needs calcium to help muscles and blood vessels contract and expand, and to send messages through the nervous system.  Calcium is also used to help release hormones and enzymes that affect almost every function in the human body."
>Daily Value (DV),>The Daily Value (DV) tells you what percentage of a nutrient one serving of that food or supplement provides compared to the recommended amount.
>Dietary Supplements,>A dietary supplement is a product you take to supplement your diet.  It contains one or more dietary ingredients (including vitamins; minerals; herbs or other botanicals; amino acids; and other substances).  Supplements do not have to go through the testing that drugs do for effectiveness and safety.
>Electrolytes,">Electrolytes are minerals in body fluids.  They include sodium, potassium, magnesium, and chloride. When you are dehydrated, your body does not have enough fluid and electrolytes."
>Iodine,>Iodine is a mineral found in some foods. Your body needs iodine to make thyroid hormones. These hormones control your bodyâs metabolism and other functions. They are also important for bone and brain development during pregnancy and infancy.
>Iron,">Iron is a mineral. It is also added to some food products and is available as a dietary supplement. Iron is a part of hemoglobin, a protein that transports oxygen from the lungs to the tissues. It helps provide oxygen to muscles. Iron is important for cell growth, development, and normal body functions.  Iron also helps the body make some hormones and connective tissue."
>Magnesium,">Magnesium is a mineral naturally present in many foods, and is added to other food products.  It is also available as a dietary supplement and present in some medicines.  It helps your body regulate muscle and nerve function, blood sugar levels, and blood pressure. It also helps your body make protein, bone, and DNA."
>Minerals,">Minerals are those elements on the earth and in foods that our bodies need to develop and function normally.  Those essential for health include calcium, phosphorus, potassium, sodium, chloride, magnesium, iron, zinc, iodine, chromium, copper, fluoride, molybdenum, manganese, and selenium."
>Multivitamin/Mineral  Supplements,">Multivitamin/mineral supplements contain a combination of vitamins and minerals. They sometimes have other ingredients, such as herbs. They are also called multis, multiples, or simply vitamins. Multis help people get the recommended amounts of vitamins and minerals when they cannot or do not get enough of these nutrients from food."
>Phosphorus,">Phosphorus is a mineral that helps keep your bones healthy. It also helps keep blood vessels and muscles working. Phosphorus is found naturally in foods rich in protein, such as meat, poultry, fish, nuts, beans, and dairy products. Phosphorus is also added to many processed foods."
>Potassium,">Potassium is a mineral that your cells, nerves, and muscles need to function properly. It helps your body regulate your blood pressure, heart rhythm and the water content in cells.  It also helps with digestion. Most people get all the potassium they need from what they eat and drink. It is also available as a dietary supplement."
>Recommended Dietary  Allowance (RDA),">Recommended Dietary Allowance (RDA) is the amount of a nutrient you should get each day.  There are different RDAs based on age, gender, and whether a woman is pregnant or breastfeeding."
>Selenium,">Selenium is a mineral that the body needs to stay healthy. It is important for reproduction, thyroid function, and DNA production. It also helps protect the body from damage caused by free radicals (unstable atoms or molecules that can damage cells) and infections.  Selenium is present in many foods, and is sometimes added to other foods. It is also available as a dietary supplement."
>Sodium,>Table salt is made up of the elements sodium and chlorine - the technical name for salt is sodium chloride. Your body needs some sodium to work properly. It helps with the function of nerves and muscles. It also helps to keep the right balance of fluids in your body.
>Zinc,">Zinc, a mineral that people need to stay healthy, is found in cells throughout the body. It helps the immune system fight off invading bacteria and viruses. The body also needs zinc to make proteins and DNA, the genetic material in all cells. During pregnancy, infancy, and childhood, the body needs zinc to grow and develop properly. Zinc also helps wounds heal and is important for our ability to taste and smell. Zinc is found in a wide variety of foods, and is found in most multivitamin/mineral supplements."
>Antioxidants,">Antioxidants are substances that may prevent or delay some types of cell damage. Examples include beta-carotene, lutein, lycopene, selenium, and vitamins C and E. They are found in many foods, including fruits and vegetables.  They are also available as dietary supplements.  Most research has not shown antioxidant supplements to be helpful in preventing diseases."
>Daily Value (DV),>The Daily Value (DV) tells you what percentage of a nutrient one serving of that food or supplement provides compared to the recommended amount.
>Dietary Supplements,>A dietary supplement is a product you take to supplement your diet.  It contains one or more dietary ingredients (including vitamins; minerals; herbs or other botanicals; amino acids; and other substances).  Supplements do not have to go through the testing that drugs do for effectiveness and safety.
>Fat-Soluble Vitamins,">Fat-soluble vitamins include vitamins A, D, E, and K. The body stores fat-soluble vitamins in the liver and fatty tissues."
>Folate,>Folate is a B-vitamin that is naturally present in many foods. A form of folate called folic acid is used in dietary supplements and fortified foods. Our bodies need folate to make DNA and other genetic material. Folate is also needed for the bodyâs cells to divide. It is important for women to get enough folic acid before and during pregnancy.  It can prevent major birth defects of the baby's brain or spine.
>Multivitamin/Mineral  Supplements,">Multivitamin/mineral supplements contain a combination of vitamins and minerals. They sometimes have other ingredients, such as herbs. They are also called multis, multiples, or simply vitamins. Multis help people get the recommended amounts of vitamins and minerals when they cannot or do not get enough of these nutrients from food."
>Niacin,">Niacin is a nutrient in the vitamin B complex. The body needs it in small amounts to function and stay healthy. Niacin helps some enzymes work properly and helps the skin, nerves, and digestive tract stay healthy."
>Recommended Dietary  Allowance (RDA),">Recommended Dietary Allowance (RDA) is the amount of a nutrient you should get each day.  There are different RDAs based on age, gender, and whether a woman is pregnant or breastfeeding."
>Vitamin A,">Vitamin A plays a role in your vision, bone growth, reproduction, cell functions, and immune system. Vitamin A is an antioxidant. It can come from plant or animal sources. Plant sources include colorful fruits and vegetables. Animal sources include liver and whole milk. Vitamin A is also added to foods like cereals."
>Vitamin B6,>Vitamin B6 is present in many foods and is added to other foods. The body needs vitamin B6 for many chemical reactions involved in metabolism. Vitamin B6 is involved in brain development during pregnancy and infancy. It also is involved in immune function.
>Vitamin B12,">Vitamin B12 helps keep the bodyâs nerve and blood cells healthy.  It helps make DNA, the genetic material in all cells. Vitamin B12 also helps prevent a type of anemia that makes people tired and weak. Vitamin B12 is found naturally in a wide variety of animal foods.  It is also added to some fortified foods and is  found in most multivitamin supplements."
>Vitamin C,">Vitamin C is an antioxidant. It is important for your skin, bones, and connective tissue. It promotes healing and helps the body absorb iron. Vitamin C comes from fruits and vegetables. Good sources include citrus, red and green peppers, tomatoes, broccoli, and greens. Some juices and cereals have added vitamin C."
>Vitamin D,">Vitamin D helps your body absorb calcium. Calcium is one of the main building blocks of bone. A lack of vitamin D can lead to bone diseases such as osteoporosis or rickets. Vitamin D also has a role in your nerve, muscle, and immune systems. You can get vitamin D in three ways: through your skin (from sunlight), from your diet, and from supplements. Your body forms vitamin D naturally after exposure to sunlight. However, too much sun exposure can lead to skin aging and skin cancer, so many people try to get their vitamin D from other sources. Vitamin D-rich foods include egg yolks, saltwater fish, and liver. Some other foods, like milk and cereal, often have added vitamin D. You can also take vitamin D supplements. Check with your health care provider to see how much you should take."
>Vitamin E,">Vitamin E is an antioxidant. It plays a role in your immune system and metabolic processes. Most people get enough vitamin E from the foods they eat. Good sources of vitamin E include vegetable oils, margarine, nuts and seeds, and leafy greens. Vitamin E is added to foods like cereals. It is also available as a supplement."
>Vitamin K,>Vitamin K helps your body by making proteins for healthy bones and tissues. It also makes proteins for blood clotting. There are different types of vitamin K. Most people get vitamin K from plants such as green vegetables and dark berries. Bacteria in your intestines also produce small amounts of another type of vitamin K.
>Vitamins,">Vitamins are substances that our bodies need to develop and function normally. They include vitamins A, C, D, E, and K, choline, and the B vitamins (thiamin, riboflavin, niacin, pantothenic acid, biotin, vitamin B6, vitamin B12, and folate/folic acid)."
>Water-Soluble  Vitamins,>Water-soluble vitamins include all the B vitamins and vitamin C.  The body does not easily store water-soluble vitamins and flushes out the extra in the urine.
>Amino Acids,>Amino acids are the building blocks of proteins. The body produces many amino acids and others come from food. The body absorbs amino acids through the small intestine into the blood.  Then the blood carries them throughout the body.
>Blood Glucose,>Glucose â also called blood sugar â is the main sugar found in the blood and the main source of energy for your body.
>Calories,">A unit of energy in food. Carbohydrates, fats, protein, and alcohol in the foods and drinks we eat provide food energy or ""calories."" "
>Carbohydrates,">Carbohydrates are one of the main types of nutrients. Your digestive system changes carbohydrates into glucose (blood sugar). Your body uses this sugar for energy for your cells, tissues and organs. It stores any extra sugar in your liver and muscles for when it is needed. There are two types of carbohydrates: simple and complex. Simple carbohydrates include natural and added sugars.  Complex carbohydrates include whole grain breads and cereals, starchy vegetables and legumes."
>Cholesterol,">Cholesterol is a waxy, fat-like substance thatâs found in all cells of the body. Your body needs some cholesterol to make hormones, vitamin D, and substances that help you digest foods. Your body makes all the cholesterol it needs. However, cholesterol also is found in some of the foods you eat. High levels of cholesterol in the blood can increase your risk of heart disease."
>Dehydration,">Dehydration is a condition that happens when you do not take in enough liquids to replace those that you lose.  You can lose liquids through frequent urinating, sweating, diarrhea, or vomiting. When you are dehydrated, your body does not have enough fluid and electrolytes to work properly."
>Diet,">Your diet is made up of what you eat and drink.  There are many different types of diets, such as vegetarian diets, weight loss diets, and diets for people with certain health problems."
>Dietary Supplements,>A dietary supplement is a product you take to supplement your diet.  It contains one or more dietary ingredients (including vitamins; minerals; herbs or other botanicals; amino acids; and other substances).  Supplements do not have to go through the testing that drugs do for effectiveness and safety.
>Digestion,">Digestion is the process the body uses to break down food into nutrients.  The body uses the nutrients for energy, growth, and cell repair."
>Electrolytes,">Electrolytes are minerals in body fluids.  They include sodium, potassium, magnesium, and chloride. When you are dehydrated, your body does not have enough fluid and electrolytes."
>Enzymes,>Enzymes are substances that speed up chemical reactions in the body.
>Fatty Acid,>Fatty acid is a major component of fats that is used by the body for energy and tissue development.
>Fiber,">Fiber is a substance in plants. Dietary fiber is the kind you eat. It's a type of carbohydrate. You may also see it listed on a food label as soluble fiber or insoluble fiber. Both types have important health benefits. Fiber makes you feel full faster, and stay full for a longer time. That can help you control your weight. It helps digestion and helps prevent constipation."
>Gluten,">Gluten is a protein found in wheat, rye, and barley.  It can also be in products such as vitamin and nutrient supplements, lip balms, and certain medicines."
>Glycemic Index,>The glycemic index (GI) measures how a carbohydrate-containing food raises blood sugar.
>HDL,>HDL stands for high-density lipoproteins.  It is also known as âgoodâ cholesterol.  HDL is one of the two types of lipoproteins that carry cholesterol throughout your body.  It carries the cholesterol from other parts of your body back to your liver. Your liver removes the cholesterol from your body.
>LDL,>LDL stands for low-density lipoproteins.  It is also known as âbadâ cholesterol.   LDL is one of the two types of lipoproteins that carry cholesterol throughout your body.  A high LDL level leads to a buildup of cholesterol in your arteries. 
>Metabolism,>Metabolism is the process your body uses to get or make energy from the food you eat.
>Monounsaturated Fat,">Monounsaturated fat is a type of fat is found in avocados, canola oil, nuts, olives and olive oil, and seeds. Eating food that has more monounsaturated fat (or ""healthy fat"") instead of saturated fat (like butter) may help lower cholesterol and reduce heart disease risk. However, monounsaturated fat has the same number of calories as other types of fat and may contribute to weight gain if you eat too much of it."
>Nutrient,">Nutrients are chemical compounds in food that are used by the body to function properly and maintain health. Examples include proteins, fats, carbohydrates, vitamins, and minerals."
>Nutrition,">This field of study focuses on foods and substances in foods that help animals (and plants) to grow and stay healthy. Nutrition science also includes behaviors and social factors related to food choices. The foods we eat provide energy (calories) and nutrients such as protein, fat, carbohydrate, vitamins, minerals, and water. Eating healthy foods in the right amounts gives your body energy to perform daily activities, helps you to maintain a healthy body weight, and can lower your risk for certain diseases such as diabetes and heart disease.Â  "
>Polyunsaturated Fat,">Polyunsaturated fat is a type of fat that is liquid at room temperature. There are two types of polyunsaturated fatty acids (PUFAs): omega-6 and omega-3. Omega-6 fatty acids are found in liquid vegetable oils, such as corn oil, safflower oil, and soybean oil. Omega-3 fatty acids come from plant sourcesâincluding canola oil, flaxseed, soybean oil, and walnutsâand from fish and shellfish."
>Protein,">Protein is in every living cell in the body. Your body needs protein from the foods you eat to build and maintain bones, muscles, and skin. You get proteins in your diet from meat, dairy products, nuts, and certain grains and beans. Proteins from meat and other animal products are complete proteins. This means they supply all of the amino acids the body can't make on its own. Plant proteins are incomplete. You must combine different types of plant proteins to get all of the amino acids your body needs. You need to eat protein every day, because your body doesn't store it the way it stores fats or carbohydrates."
>Saturated Fat,">Saturated fat is a type of fat that is  solid at room temperature. Saturated fat is found in full-fat dairy products (like butter, cheese, cream, regular ice cream, and whole milk), coconut oil, lard, palm oil, ready-to-eat meats, and the skin and fat of chicken and turkey, among other foods. Saturated fats have the same number of calories as other types of fat, and may contribute to weight gain if eaten in excess. Eating a diet high in saturated fat also raises blood cholesterol and risk of heart disease."
>Sodium,>Table salt is made up of the elements sodium and chlorine - the technical name for salt is sodium chloride. Your body needs some sodium to work properly. It helps with the function of nerves and muscles. It also helps to keep the right balance of fluids in your body.
>Sugar,">Sugars are a type of simple carbohydrate.  They have a sweet taste.  Sugars can be found naturally in fruits, vegetables, milk, and milk products.  They are also added to many foods and drinks during preparation or processing.  Types of sugar include glucose, fructose, and sucrose.  Your digestive system breaks down sugar into glucose.  Your cells use the glucose for energy."
>Total Fat,">Fat is a type of nutrient. You need a certain amount of fat in your diet to stay healthy, but not too much.  Fats give you energy and help your body absorb vitamins. Dietary fat also plays a major role in your cholesterol levels.  Not all fats are the same. You should try to avoid saturated fats and trans fats."
>Trans Fat,">Trans fat is a type of fat that is created when liquid oils are changed into solid fats, like shortening and some margarines.  It makes them last longer without going bad. It may also be found in crackers, cookies, and snack foods. Trans fat raises your LDL (bad) cholesterol and lowers your HDL (good) cholesterol."
>Triglycerides,">Triglycerides are a type of fat found in your blood. Too much of this type of fat may raise the risk of coronary artery heart disease, especially in women."
>Water Intake,">We all need to drink water. How much you need depends on your size, activity level, and the weather where you live. Keeping track of your water intake helps make sure that you get enough. Your intake includes fluids that you drink, and fluids you get from food."
